name,location,telephone,url
All Points North Lodge,"Edwards, Colorado",8884101870,https://apnlodge.com/ls/mental-health-trauma-addiction-wwr/
All Points North Lodge,Colorado,8884101870,https://apnlodge.com/ls/mental-health-trauma-addiction-wwr/
The Hope House,"Scottsdale, Arizona",8888140480,https://www.thehopehouse.com/locations/arizona/scottsdale-rehab/?utm_source=recovery-worldwide&;utm_medium=cpc&utm_campaign=top10&utm_content=pos4
Boca Recovery Centers,Locations in New Jersey and Florida,8449234973,https://bocarecoverycenter.com/?utm_source=referral&utm_medium=banner&utm_campaign=addiction_center
Recovery Unplugged,"Locations in Texas, Florida, Tennessee, and Virginia",8333782481,https://www.recoveryunplugged.com/locations/nashville-drug-rehab-center/?utm_source=AddictionCenter&utm_campaign=Nashville
Recovery Unplugged,"Locations in Texas, Florida, Tennessee, and Virginia",8333782481,https://www.recoveryunplugged.com/locations/nashville-drug-rehab-center/?utm_source=AddictionCenter&utm_campaign=Nashville
Southeast Addiction Centers,"Locations in Atlanta, GA and Nashville, TN",8557602489,https://southeastaddiction.com/
Dana Point Rehab Campus,"Dana Point, California",8339410362,https://danapointrehabcampus.com/
United Recovery Project,"Hollywood, Florida",8774641377,https://gethelp.unitedrecoveryproject.com/addictioncenter/
Riverwalk Ranch,"Mansfield, Texas",8556695083,https://riverwalkranch.com/
